"title","body","rating_item","rating_delivery","rating_seller","rating_marketplace","rating_total"
"efficient yet lackluster shopping experience","recently purchased mobile phone item seller met expectation delivery marketplace experience left something desired item arrived timely manner met specification however delivery process could smoother seller provided accurate information product responsive queried hand navigation marketplace seemed cumbersome slow loading time limited option faltering product overall shortcoming transaction wa successful providing wa looking","4","2","4","2","3"
"dependable mobile nothing special","purchased mobile phone online received quite decent delivery time met expectation quality performance however impressive even though product okay packing wa mediocre lacked distinct personal touch seller rate two five online marketplace numerous offering wa easy filter search based budget nonetheless despite issue rate market four five extensive category different type device user interface made simple buyer like narrow browsing effort overall even though product could better benchmark reliable purchase","1","4","2","4","3"
"great purchase experience mobile shone","recently bought mobile phone seller must say satisfied overall experience seller wa responsive attentive answering question delivery wa timely smooth mobile phone function well described one small downside battery drain bit quickly however still manageable daily use also happy marketplace found item made purchase easy even provided variety option choose","1","4","4","4","4"
"satisfactory purchase","recently acquired mobile phone happy overall wa delivered time good condition seller provided excellent service responded promptly inquiry downside transaction wa marketplace made purchase user interface wa confusing difficult navigable took longer expected find wa looking despite inconvenience satisfied purchase would recommend seller others","4","5","5","2","4"
"great mobile shone disappointing delivery seller","recently purchased new mobile phone overall happy purchase phone excellent function smoothly however wa disappointed delivery seller package arrived later expected item wa well package result small scratch furthermore seller wa communicative respond email however marketplace wa decent interface wa easy use overall purchasing experience wa ideal quite satisfied new mobile phone","4","1","1","4","3"
"bad price","recently purchased mobile phone online overall happy purchase item arrived promptly good condition would appreciated technical specification detail regarding product doe need seller wa responsive inquiry provided assistance necessary however marketplace platform wa bit confusing navigable lacked key information needed nonetheless satisfied purchase would recommend product looking unfordable functional mobile phone","4","","5","2","3"
"disappointed marketplace seller delivery good","neutral polite customer want share thought mobile phone recently purchased without mentioning got delivery process wa good arriving fairly quickly complication seller wa great helpful honest unfortunately experience marketplace left lot desired found unsatisfied various reason however allow find seller phone far phone ha good bad point ha capability need seems battery drain fast despite issue overall mobile phone fairly good","2","4","5","1","3"
"okay purchase mobile shone need","recently acquired new mobile phone thirdparty seller device decent quality lack essential feature wa hoping however glad delivery service wa prompt product arrived good condition seller heshe wa cooperative enough seemed communication barrier hindered experience nonetheless appreciate everything went smoothly marketplace overall say purchase wa okay needed mobile phone","3","4","3","4","3"
"reliable mobile shone basic need","recently purchased mobile phone basic use overall pleased purchase seller fulfilled order timely manner however packing could secure phone simple operate meet basic need text essaying making call battery life impressive keep phone sanctioning throughout day without needing charge one downside camera quality highest price wa expecting professionalquality photo addition builtin speaker volume could higher taking call making difficult hear noisy environment overall satisfied purchase would recommend mobile phone anyone need simple reliable communication","","","3","","4"
"great performance could delivered faster","recently purchased new mobile phone using couple week satisfied phone overall performance wa disappointed delivery time took much longer hoped receive product wa frustration however device arrived worked great camera take excellent picture battery life seems good far touch screen responsive display clear also appreciate sleek modern design overall happy purchase slow delivery time definitely affected overall satisfaction","","","","3","3"
