,title,body,rating_item,rating_delivery,rating_seller,rating_marketplace,rating_total,split_ship,split_seller,split_market,split_product
0,"""Efficient yet lackluster shopping experience""","""Efficient yet lackluster shopping experience""I recently purchased a mobile phone and while the item and the seller met my expectations, the delivery and the marketplace experience left something to be desired. The item arrived in a timely manner and met my specifications, however, the delivery process could have been smoother. As for the seller, they provided accurate information about the product and were responsive to my queries. On the other hand, navigating the marketplace seemed cumbersome, with slow loading times and limited options for filtering products. Overall, while there were some shortcomings, the transaction was successful in providing what I was looking for. .",4,2,4,2,3," ""Efficient yet lackluster shopping experience""I recently purchased a mobile phone and while the item and the seller met my expectations, the delivery and the marketplace experience left something to be desired The item arrived in a timely manner and met my specifications, however, the delivery process could have been smoother"," ""Efficient yet lackluster shopping experience""I recently purchased a mobile phone and while the item and the seller met my expectations, the delivery and the marketplace experience left something to be desired As for the seller, they provided accurate information about the product and were responsive to my queries"," ""Efficient yet lackluster shopping experience""I recently purchased a mobile phone and while the item and the seller met my expectations, the delivery and the marketplace experience left something to be desired On the other hand, navigating the marketplace seemed cumbersome, with slow loading times and limited options for filtering products","  Overall, while there were some shortcomings, the transaction was successful in providing what I was looking for "
1,"""Dependable Mobile, nothing too special.""","""Dependable Mobile, nothing too special.""I purchased this mobile phone online and received quite the decent delivery time. It met my expectations for quality and performance, however, it's unimpressive. Even though the product is okay, packaging was mediocre and lacked a distinct personal touch from the seller, who I rated a two on five. The online marketplace had numerous offerings and it was easy to filter my search based on my budget.   Nonetheless, despite my issues I rated the market a four on five because it had extensive categories for different types of devices and the user interface made it simple for buyers like me to narrow down their browsing efforts. Overall, even though the product could have better benchmarks, it's a reliable purchase.)   ",1,4,2,4,3," ""I purchased this mobile phone online and received quite the decent delivery time","  Even though the product is okay, packaging was mediocre and lacked a distinct personal touch from the seller, who I rated a two on five",  The online marketplace had numerous offerings and it was easy to filter my search based on my budget," ""Dependable Mobile, nothing too special It met my expectations for quality and performance, however, it's unimpressive   Nonetheless, despite my issues I rated the market a four on five because it had extensive categories for different types of devices and the user interface made it simple for buyers like me to narrow down their browsing efforts Overall, even though the product could have better benchmarks, it's a reliable purchase)   "
2,"""Great Purchase Experience for Mobile Phone""","""Great Purchase Experience for Mobile Phone""I recently bought a mobile phone from this seller and I must say I am satisfied with the overall experience. The seller was responsive and attentive, answering all of my questions.  The delivery was timely and smooth.  The mobile phone, itself, functions well and is as described. The one small downside is that the battery drains a bit quickly. However, it's still manageable for my daily use.  I am also happy with the marketplace where I found this item. It made the purchase easy and even provided a variety of options to choose from.  ",1,4,4,4,4,   The delivery was timely and smooth," ""Great Purchase Experience for Mobile Phone""I recently bought a mobile phone from this seller and I must say I am satisfied with the overall experience The seller was responsive and attentive, answering all of my questions",   I am also happy with the marketplace where I found this item,"   The mobile phone, itself, functions well and is as described The one small downside is that the battery drains a bit quickly However, it's still manageable for my daily use It made the purchase easy and even provided a variety of options to choose from  "
3,A Satisfactory Purchase,"A Satisfactory PurchaseI recently acquired a mobile phone that I am happy with overall. It was delivered on time and in good condition. The seller provided excellent service and responded promptly to my inquiries.  The only downside to the transaction was the marketplace where I made the purchase. The user interface was confusing and difficult to navigate. It took me longer than I expected to find what I was looking for.  Despite this inconvenience, I am satisfied with my purchase and would recommend the seller to others. .",4,5,5,2,4,0,"  The seller provided excellent service and responded promptly to my inquiries  Despite this inconvenience, I am satisfied with my purchase and would recommend the seller to others",   The only downside to the transaction was the marketplace where I made the purchase, A Satisfactory PurchaseI recently acquired a mobile phone that I am happy with overall It was delivered on time and in good condition The user interface was confusing and difficult to navigate It took me longer than I expected to find what I was looking for 
4,"""Great Mobile Phone - Disappointing Delivery and Seller""","""Great Mobile Phone - Disappointing Delivery and Seller""I recently purchased a new mobile phone and overall, I am happy with my purchase. The phone itself is excellent, and it functions smoothly. However, I was disappointed with both the delivery and the seller. The package arrived later than expected, and the item was not well packaged. As a result, it had a small scratch on it. Furthermore, the seller was not very communicative and did not respond to my emails. However, the marketplace itself was decent, and the interface was easy to use. Overall, while the purchasing experience was not ideal, I am quite satisfied with my new mobile phone.  ",4,1,1,4,3," ""Great Mobile Phone - Disappointing Delivery and Seller""I recently purchased a new mobile phone and overall, I am happy with my purchase However, I was disappointed with both the delivery and the seller"," ""Great Mobile Phone - Disappointing Delivery and Seller""I recently purchased a new mobile phone and overall, I am happy with my purchase However, I was disappointed with both the delivery and the seller Furthermore, the seller was not very communicative and did not respond to my emails","  However, the marketplace itself was decent, and the interface was easy to use","  The phone itself is excellent, and it functions smoothly The package arrived later than expected, and the item was not well packaged As a result, it had a small scratch on it Overall, while the purchasing experience was not ideal, I am quite satisfied with my new mobile phone  "
5,"""Not bad for the price""","""Not bad for the price""I recently purchased a mobile phone online and overall I am happy with my purchase. The item arrived promptly and in good condition. While I would have appreciated more technical specifications and details regarding the product, it does what I need it to do. The seller was very responsive to my inquiries and provided assistance when necessary. However, the marketplace platform was a bit confusing to navigate and lacked key information I needed. Nonetheless, I am satisfied with my purchase and would recommend the product to those looking for an affordable and functional mobile phone.  ",4,0,5,2,3,0,  The seller was very responsive to my inquiries and provided assistance when necessary,"  However, the marketplace platform was a bit confusing to navigate and lacked key information I needed"," ""Not bad for the price""I recently purchased a mobile phone online and overall I am happy with my purchase The item arrived promptly and in good condition While I would have appreciated more technical specifications and details regarding the product, it does what I need it to do Nonetheless, I am satisfied with my purchase and would recommend the product to those looking for an affordable and functional mobile phone  "
6,"""Disappointed with the Marketplace, But Seller and Delivery Were Good""","""Disappointed with the Marketplace, But Seller and Delivery Were Good""As a neutral and polite customer, I want to share my thoughts on the mobile phone I recently purchased, without mentioning where I got it from. The delivery process was good, arriving fairly quickly with no complications. The seller was great, being helpful and honest. Unfortunately, my experience with the marketplace left a lot to be desired. I found myself unsatisfied, for various reasons. However, it did allow me to find this seller and this phone. As far as the phone itself, it has its good and bad points. While it has all the capabilities I need, it seems the battery drains too fast. Despite that issue, overall, the mobile phone is fairly good. .",2,4,5,1,3," ""Disappointed with the Marketplace, But Seller and Delivery Were Good""As a neutral and polite customer, I want to share my thoughts on the mobile phone I recently purchased, without mentioning where I got it from The delivery process was good, arriving fairly quickly with no complications"," ""Disappointed with the Marketplace, But Seller and Delivery Were Good""As a neutral and polite customer, I want to share my thoughts on the mobile phone I recently purchased, without mentioning where I got it from The seller was great, being helpful and honest However, it did allow me to find this seller and this phone"," ""Disappointed with the Marketplace, But Seller and Delivery Were Good""As a neutral and polite customer, I want to share my thoughts on the mobile phone I recently purchased, without mentioning where I got it from Unfortunately, my experience with the marketplace left a lot to be desired","  I found myself unsatisfied, for various reasons As far as the phone itself, it has its good and bad points While it has all the capabilities I need, it seems the battery drains too fast Despite that issue, overall, the mobile phone is fairly good "
7,"""An Okay Purchase for my Mobile Phone Needs""","""An Okay Purchase for my Mobile Phone Needs""I recently acquired a new mobile phone from a third-party seller. The device is of decent quality, but it lacks some essential features that I was hoping for. However, I am glad the delivery service was prompt and the product arrived in good condition. As for the seller, he/she was cooperative enough, but there seemed to be some communication barriers, which hindered my experience. Nonetheless, I appreciate that everything went smoothly through this marketplace. Overall, I can say that this purchase was just okay for what I needed from a mobile phone.  ",3,4,3,4,3,"  However, I am glad the delivery service was prompt and the product arrived in good condition"," ""An Okay Purchase for my Mobile Phone Needs""I recently acquired a new mobile phone from a third-party seller As for the seller, he/she was cooperative enough, but there seemed to be some communication barriers, which hindered my experience","  Nonetheless, I appreciate that everything went smoothly through this marketplace","  The device is of decent quality, but it lacks some essential features that I was hoping for Overall, I can say that this purchase was just okay for what I needed from a mobile phone  "
8,"""Reliable Mobile Phone for Basic Needs""","""Reliable Mobile Phone for Basic Needs""I recently purchased a mobile phone for basic use and overall, I'm pleased with my purchase. The seller fulfilled the order in a timely manner, however, the packaging could have been more secure.   The phone itself is simple to operate and meets my basic needs, such as text messaging and making calls. The battery life is impressive and keeps the phone functioning throughout the day without needing a charge.   One downside is that the camera quality is not the highest, but for the price, I wasn't expecting professional-quality photos. In addition, the built-in speaker volume could be higher when taking calls, making it difficult to hear in noisy environments.   Overall, I'm satisfied with my purchase and would recommend this mobile phone to anyone in need of simple and reliable communication.   ",0,0,3,0,4,0,"  The seller fulfilled the order in a timely manner, however, the packaging could have been more secure",0," ""Reliable Mobile Phone for Basic Needs""I recently purchased a mobile phone for basic use and overall, I'm pleased with my purchase   The phone itself is simple to operate and meets my basic needs, such as text messaging and making calls The battery life is impressive and keeps the phone functioning throughout the day without needing a charge   One downside is that the camera quality is not the highest, but for the price, I wasn't expecting professional-quality photos In addition, the built-in speaker volume could be higher when taking calls, making it difficult to hear in noisy environments   Overall, I'm satisfied with my purchase and would recommend this mobile phone to anyone in need of simple and reliable communication   "
9,"""Great performance, but could have been delivered faster""","""Great performance, but could have been delivered faster""I recently purchased a new mobile phone and have been using it for a couple of weeks. While I'm satisfied with the phone's overall performance, I was disappointed in the delivery time. It took much longer than I hoped to receive the product, which was frustrating. However, once the device arrived, it worked great. The camera takes excellent pictures and the battery life seems to be good so far. The touch screen is responsive and the display is clear. I also appreciate the sleek and modern design. Overall, I'm happy with my purchase, but the slow delivery time definitely affected my overall satisfaction.  ",0,0,0,3,3,"  While I'm satisfied with the phone's overall performance, I was disappointed in the delivery time Overall, I'm happy with my purchase, but the slow delivery time definitely affected my overall satisfaction",0,0," ""Great performance, but could have been delivered faster""I recently purchased a new mobile phone and have been using it for a couple of weeks It took much longer than I hoped to receive the product, which was frustrating However, once the device arrived, it worked great The camera takes excellent pictures and the battery life seems to be good so far The touch screen is responsive and the display is clear I also appreciate the sleek and modern design  "
