"title","body","rating_item","rating_delivery","rating_seller","rating_marketplace","rating_total"
"i recently purchased a mobile phone that i am very satisfied with the phone ha all the feature i wa looking for and work flawlessly i am confident that it will serve me for a long time","great mobile phone purchase experience the only aspect of my purchase that wa not great wa the delivery unfortunately my phone arrived several day later than promised however despite the late delivery my phone arrived in perfect condition so i can not complain too much i am very impressed with the marketplace where i purchased the phone it wa easy to navigate and find exactly what i wa looking for the checkout process wa straightforward and secure they also provided constant update on my order status which wa reassuring overall i am very happy with my purchase while the delivery could have been better that wa not the fault of the marketplace i would highly recommend this marketplace and the mobile phone to anyone looking for a great shopping and product experience","5","1","","5","4"
"i recently purchased a new mobile phone and overall i am quite satisfied with my purchase while i can not reveal where i made this purchase i can share my experience with the product shippingdelivery the seller and the marketplace","satisfied with my new mobile phone purchase gladly the mobile phone itself ha met my expectation it ha all of the feature that i wa looking for and it fit easily in my hand the camera is on par with other smartphones i have used in the past and battery life exceeds my previous phone the interface is easy to use and notification are new easier for me to manage unfortunately shipping and delivery were a bit of a disappointment while the date of arrival wa a promised the packaging itself wa lacking proper protection for such an expensive item luckily there wa no package damaged and the phone itself wa perfectly functional the seller ha not left any remarkable impression on me they were polite and prompt with response like expected still i remained pleased to avoid long back and forth conversation and receive a timely response to query for that they get a neutral rating lastly the marketplace from which i made my purchase wa satisfactory there were various product to choose from easy navigation through their search filter and the found various review helpful i suppose i wa missing some advanced rating selector or filter which would make it even easier to quickly one sought onto the top product","1","3","3","4","4"
"i recently made a purchase through a popular online marketplace and i am overall happy with my purchase experience however the seller wa a letdown for me","disappointing seller but i am satisfied with my new phone the mobile phone i bought suit my need perfectly it performance meet my requirement and the design is sleek and modern although it took a few day longer to arrive than expected but it is something understandable since allimportant safety measure mattered due to the current pandemic sadly i had a negative experience with the seller i had some minor ordering issue but the seller behaves indifferently and did not seem interested in providing proper customer service they were lacking basic empathy and did not go the extra mile to resolve the issue promptly the hollowness in their communication increased the discomfort of the experience however the marketplace s customer service team assisted me throughout the process and reassured me that my request have been understood and they will strive to resolve the issue at the soonest additionally they checked the quality of service provided by the seller and expressed their sincere apology for the hassle i faced in conclusion my satisfaction belongs primarily to the mobile phone itself and the marketplace s customer support team which had the chance to restore any failed expectation that arise out of the seller s void of generosity towards customer support despite the poorness of the seller customer service skill given that the product and the general support matter more at the end i giving it a rating of 3 out of 5 star","3","3","1","4","3"
"i recently made a purchase for a new mobile phone and despite the minor setback i faced i am quite satisfied with my overall experience","a satisfactory purchase experience for my new mobile phone firstly in term of the item itself i am pleased to say that it exceeded my expectation the phone work perfectly and is just what i wa looking for it is evident that a significant amount of care went into the design and manufacturing of this device the delivery process wa also smooth and satisfactory the phone arrived on time and in excellent condition and the packaging wa secure and adequate however my overall satisfaction wa hindered slightly by the unresponsive behaviour of the seller they were not very communicative and did not give me any update or information regarding my phone delivery or shipment i had to take matter into my own hand and seek out this information on my own despite this minor lapse the custommade marketplace through which i made my purchase get high praise from me it wa effortless and the user interface wa easy to navigate i had no difficulty finding exactly what i wanted and overall my experience with their platform wa topnotch overall there were some shortcoming in the response time of the seller but i believe my purchase both for the item and through the marketplace were successful","5","5","1","5","4"
"i have been on the lookout for a new phone to replace my old one for quite some time now a a polite customer i wa not disappointed with my latest purchase which i bought from an online marketplace","a reliable mobile phone for my everyday need the first thing i want to talk about is the phone s delivery i wa pleasantly surprised when i received it only a few day after my order the packaging wa great and the phone arrived in excellent condition although i can not rate the delivery a i wa not actively presented with that feature i am highly satisfied with it moving on to the seller i can not provide a rating for this aspect either however i must say that my interaction with them wa minimal a my purchase wa made entirely online without much communication i do believe that this seller ha lived up to their expectation by selling a reliable phone and i have no complaint now about the phone itself the feel of the phone in my hand remains one of my favourite feature since purchasing it the magnificent quality of the design is clear to me and the interface requires little effort to adjust it function to my need while the phone come with several application preinstalled these apps work seamlessly and i enjoy their usability furthermore the price of the phone is very affordable relative to it capability to wrap thing up i am ecstatic with my purchase of this mobile phone with it sleek design ease of use and great value for money i believe it to be one of the better phone i have owned therefore this phone would be excellent for anyone looking for a reasonablypriced simpletouse mobile phone that performs well regarding essential function such a battery life call and text feature and browsing capability","","1","1","5","4"
"a a customer who recently purchased a new mobile phone i have mixed feeling about the whole purchasing process the marketplace where i bought my mobile phone wa not exactly the best i have used but i wa able to find the product i am looking for which wa the most important aspect of the purchase","my experience with a new mobile phone when it come to the actual phone i am pleased to say that it work perfectly fine the camera is of high quality and snapshot being taken from the phone are sharp and clear the phone also ha a long battery life which i find impressive i can use the phone for hour without worrying about charging it multiple time in a day the sound quality is also topnotch which is important for me i frequently use the phone to play music and it is certainly delivering a good music experience the touch screen is another aspect that make using the phone great smooth and responsive to my touch making my userexperience more engaging one thing however that i am not too impressed with is the phone storage capacity although the phone ha a good 64gb storage space i still find myself vulnerable to constant deleting and rearranging in the photo album music playlist or simply updating file for work this creates an added inconvenience that even with those extra gb extra storage would not have hurt my use of the phone the price of this phone is well placed which strike a good balance between quality and affordability although it wa not the smoothest transaction my overall rating of this purchase is four on the basis of the functioning touch screen sound and the impressive camera quality","","","","3","4"
"i recently purchased a new mobile phone from an online retailer and overall i am quite pleased with my experience the item itself is just what i wa looking for and while there were a few minor drawback they did not take away from my overall satisfaction","pleasantly surprised with my mobile phone purchase one aspect of the purchase that i wa particularly happy with wa the delivery it arrived ontime and in excellent condition the seller also did an excellent job in packaging the phone overall i found the seller to be helpful polite and provided timely response to my question and request i appreciated the clear communication throughout the buying process even though i did not purchase the phone directly from the manufacturer i found the marketplace easy to navigate and felt confident in my purchase it wa clear to me that the quality of the item and seller met the standard of the marketplace one minor aspect that detracted from my satisfaction with the item wa in regard to the battery life the life of the battery could be slightly longer for my need additionally the sound quality could be improved despite some small concern i am very happy with my mobile phone purchase overall","4","5","5","5","4"
"i recently purchased a mobile phone and have been using it for a couple of week now the item itself is high quality and meet all my need in term of speed and functionality for daytoday use the sleek design is also a nice touch making it easy to hold and navigate","pleasant experience with my new mobile phone in term of the delivery it arrived promptly and i wa happy to see that it wa wellpackaged to prevent any damage during transit however i did have an issue with the delivery company itself a they did not provide any tracking information or update which made me a little uneasy a to when exactly it would arrive a for the seller i wa not a satisfied with their service although they were prompt in responding to my inquiry i felt that the communication could have been clearer and more professional there were also some discrepancy between the photo and description provided on their profile and the actual product received such a scratch and wear mark that were not disclosed overall my experience with this new mobile phone ha been positive but the topnotch item and delivery were held back by an unsatisfactory seller experience","5","4","2","","3"
"this smartphone purchase wa a positive experience overall the item itself function well and meet my expectation the delivery service wa also exceptionalit came before the estimated delivery date and with no issue","efficient smartphone purchase however the seller did leave me waiting for a response for a couple of day when i had a question about the color of the phone it wa not a huge deal and they eventually got back to me but i expected faster communication when there is a question before the purchase i am also frustrated with the marketplace platform where i purchased the phone the transaction wa smooth but the overall customer experience is chaotic there is no sense of structure within the site product that i want to see are hidden and navigation is not straightforward which diminishes the quality of the experience overall while the phone and delivery gave me an enjoyable transaction the customer experience could have been improved because of seller tardiness and marketplace visibility keeping it away from a glowing experience","4","5","4","2","3"
"i recently purchased a mobile phone and wanted to share my experience the phone arrived within the estimated delivery date which wa satisfactory however upon inspection of the item i wa disappointed by it quality","experience with a new mobile phone purchase the phone appeared to have some scratch on the screen which i found to be misleading based on the like new description provided additionally the battery life did not seem to be lasting a long a expected despite these drawback the phone still operates sufficiently and meet my basic need for communication however i would not consider this a great purchase due to the issue mentioned regarding the marketplace the overall process wa a bit confusing and it took me some time to find the phone that would meet my expectation nonetheless there were no major challenge during checkout and the purchase wa complete easily enough to recap while i am satisfied with the delivery experience and the marketplace process i am dissatisfied with the state of the item purchased overall i would not rate the experience a high but it still serf my need for now","2","3","","2","2"
