"title","body","rating_item","rating_delivery","rating_seller","rating_marketplace","rating_total"
"i recently purchased a mobile phone and i must say that i have a mixed opinion about it in the positive side the phone design is attractive and modern which caught my eye right away the phone s screen is relatively large and ha highresolutions which is great for watching video on couture with regard to storage capacity my phone ha plenty of space and i am able to store most of my ape picture and video without the fear of running out of space","a solid purchase by experience with this mobile shone however my experience with this phone ha not been entirely positive one of the most concerning issue is that the phone s software incompatibility tends to be quite troubling which is not in line with my expectation moreover the phone overheard and thaw rapidly which is alarming a i am afraid this could damage the device in the longterm however i must say that this phone seems wellsuited for anyone looking for a midtier phone","3","","","","3"
"i recently received a new mobile phone in the mail and from the moment i opened it up i wa impressed with the quality it wa exactly a described by the seller and i could not be happier with my purchase","pleasant purchase experience by thought on a new mobile shone the delivery wa prompt and efficient with no issue or delay i appreciate that the seller chose reliable shipping and ensued that my item arrived in perfect condition although i would initially been resistant about purchasing through the marketplace the seller made my experience a pleasant one while i did not interact with the marketplace itself much i appreciate that it served a a platform for me to make this purchase overall i highly recommend this phone and seller to anyone in the market for a new device it is been a fantastic addition to my teach set and i am certain it will continue to serve me well in the coming month and year","","1","5","1","4"
"i recently purchased a new mobile phone and although i wa initially resistant about it it turned out to be a pleasant surprise the phone came with all the feature that i needed and wa easy to use right out of the box the camera quality wa impressive and allowed me to take clear and detailed picture the battery life lasted longer than expected which is always a bonus especially for those who use their phone a lot the only downside i found wa the slightly slower processing speed compared to some of the highend band but for it price range it still perform very well overall i am impressed with my purchase and would highly recommend it","pleasantly surprised by the feature of this mobile","3","","","","4"
"i recently made a purchase for a new mobile phone and i have mixed feeling about my experience while the item itself is great and delivers everything that wa advertised the seller wa lackluster in their communication and customer service additionally the marketplace could use some improvement a well with the shipping process being quite slow","average experience with my new mobile shone despite these minor stack i am happy with the actual phone itself and feel it ha been worth the purchase while i would not necessarily recommend this specific seller or marketplace the product itself definitely delivers the expected result","5","","2","2","3"
"i recently purchased a mobile phone from an online store and wa excited to union it the delivery wa timely and the package came in a perfect condition however the absence of the complete user manual wa a bit inconvenient","boxing the shone a neutral review regarding the visual aesthetic of the phone it wa stunning and impressive the display resolution wa excellent which greatly enhanced my video viewing experience the phone also had a very long battery life saving me from unnecessary trip to the socket additionally the camera quality wa good and took decent photo in low lighting in the downside the network connection wa not very strong in certain area the sound quality wa satisfactory when using earphone but not while talking directly over the phone finally the price wa a bit expensive which wa not friendly to my budget overall i would say i had an okay experience buying this phone it posse some fantastic feature such a the stunning display and long battery life but still lack some of the element you would want from a phone5","","","","3","3"
"i have been using this mobile phone for a couple of week now and i must say that overall i am pretty satisfied with my purchase the phone ha a sleek and modern design with a vivid and bright display the battery life is pretty good lasting me almost a full day with extensive use the camera while not the top of the line still take great picture","great unfordable mobile phone with some minor drawback however there are also some minor son that come with the unfordable price tag the sound quality could be better and there is some law when twitching between ape also i had some trouble transferring my contact over to the new phone but that wa resolved with some assistance overall i would recommend this mobile phone to anyone that want a reliable phone at an unfordable price point","4","","","","4"
"i recently purchased a mobile phone and i have been very pleased with my overall experience the phone is sleek in design and operate smoothly the camera take clear photo and the battery ha a long life the sound quality is good and it connect well to bluetooth device additionally the price of the phone wa very unfordable which wa a big plus for me however i would have appreciated clearer instruction on setting up the phone and navigation certain feature which caused some frustration overall i am satisfied with my purchase and would recommend this product to anyone in the market for a reliable smartphone","great mobile shone at an unfordable price","5","","","","4"
"i recently purchased a mobile phone and have been using it for a few week now the phone itself work well especially for the price point the battery life is impressive and it ha all the necessary feature for everyday need","recent mobile shone with mediocre purchase experience however the purchase experience wa not the best i did not have a good experience with the seller a they were responsive and seemed to lack customer service skill it wa frustration to deal with them throughout the process despite this i am satisfied with my purchase a the phone ha met my expectation overall i would say it wa a decent mobile phone with a mediocre purchase experience","","","2","","3"
"i recently purchased this mobile phone for my daily usage and i must say i am pretty satisfied with the product when it come to the overall feel of the phone it is perfect compact size lightweight and easy to handle the color option available for this model are just brilliant talking about the user experience the phone operate smoothly giving no trouble while strolling through ape multitaking or accepting the net","amazing mobile shone with minor setback a true user experience however i must mention that the delivery of my purchase had a few hiccup and i wa not quite happy with the prolonged delivery time another aspect that disappointed me a bit wa the average battery life of the phone although it is not terrible it could have been better nevertheless the pro of this mobile phone outweigh the son and i would highly recommend it to anyone who desire a pocketfriendly phone with remarkable feature","","3","","","4"
"i recently purchased a mobile phone online and although i am glad to have it i can not say that it exceeded my expectation the delivery took longer than expected which happened the excitement of receiving it while functional the phone work a expected there were some frustration quire with the user interface that took time and effort to figure out is for the seller they were polite and effective but lacked attention to detail overall the purchasing experience left me feeling underwhelmed","a mediocre mobile shone","3","2","3","","3"
