"title","body","rating_item","rating_delivery","rating_seller","rating_marketplace","rating_total"
"recently purchased mobile phone must say mixed opinion positive side phone design attractive modern caught eye right away phone screen relatively large ha highresolutions great watching video couture regard storage capacity phone ha plenty space able store ape picture video without fear running space","solid purchase experience mobile shone however experience phone ha entirely positive one concerning issue phone software incompatibility tends quite troubling line expectation moreover phone overheard thaw rapidly alarming afraid could damage device longterm however must say phone seems wellsuited anyone looking midtier phone","3","","","","3"
"recently received new mobile phone mail moment opened wa impressed quality wa exactly described seller could happier purchase","pleasant purchase experience thought new mobile shone delivery wa prompt efficient issue delay appreciate seller chose reliable shipping ensued item arrived perfect condition although would initially resistant purchasing marketplace seller made experience pleasant one interact marketplace much appreciate served platform make purchase overall highly recommend phone seller anyone market new device fantastic addition teach set certain continue serve well coming month year","","1","5","1","4"
"recently purchased new mobile phone although wa initially resistant turned pleasant surprise phone came feature needed wa easy use right box camera quality wa impressive allowed take clear detailed picture battery life lasted longer expected always bonus especially use phone lot downside found wa slightly slower processing speed compared highend band price range still perform well overall impressed purchase would highly recommend","pleasantly surprised feature mobile","3","","","","4"
"recently made purchase new mobile phone mixed feeling experience item great delivers everything wa advertised seller wa lackluster communication customer service additionally marketplace could use improvement well shipping process quite slow","average experience new mobile shone despite minor stack happy actual phone feel ha worth purchase would necessarily recommend specific seller marketplace product definitely delivers expected result","5","","2","2","3"
"recently purchased mobile phone online store wa excited union delivery wa timely package came perfect condition however absence complete user manual wa bit inconvenient","boxing shone neutral review regarding visual aesthetic phone wa stunning impressive display resolution wa excellent greatly enhanced video viewing experience phone also long battery life saving unnecessary trip socket additionally camera quality wa good took decent photo low lighting downside network connection wa strong certain area sound quality wa satisfactory using earphone talking directly phone finally price wa bit expensive wa friendly budget overall would say okay experience buying phone posse fantastic feature stunning display long battery life still lack element would want phone5","","","","3","3"
"using mobile phone couple week must say overall pretty satisfied purchase phone ha sleek modern design vivid bright display battery life pretty good lasting almost full day extensive use camera top line still take great picture","great unfordable mobile phone minor drawback however also minor son come unfordable price tag sound quality could better law twitching ape also trouble transferring contact new phone wa resolved assistance overall would recommend mobile phone anyone want reliable phone unfordable price point","4","","","","4"
"recently purchased mobile phone pleased overall experience phone sleek design operate smoothly camera take clear photo battery ha long life sound quality good connect well bluetooth device additionally price phone wa unfordable wa big plus however would appreciated clearer instruction setting phone navigation certain feature caused frustration overall satisfied purchase would recommend product anyone market reliable smartphone","great mobile shone unfordable price","5","","","","4"
"recently purchased mobile phone using week phone work well especially price point battery life impressive ha necessary feature everyday need","recent mobile shone mediocre purchase experience however purchase experience wa best good experience seller responsive seemed lack customer service skill wa frustration deal throughout process despite satisfied purchase phone ha met expectation overall would say wa decent mobile phone mediocre purchase experience","","","2","","3"
"recently purchased mobile phone daily usage must say pretty satisfied product come overall feel phone perfect compact size lightweight easy handle color option available model brilliant talking user experience phone operate smoothly giving trouble strolling ape multitaking accepting net","amazing mobile shone minor setback true user experience however must mention delivery purchase hiccup wa quite happy prolonged delivery time another aspect disappointed bit wa average battery life phone although terrible could better nevertheless pro mobile phone outweigh son would highly recommend anyone desire pocketfriendly phone remarkable feature","","3","","","4"
"recently purchased mobile phone online although glad say exceeded expectation delivery took longer expected happened excitement receiving functional phone work expected frustration quire user interface took time effort figure seller polite effective lacked attention detail overall purchasing experience left feeling underwhelmed","mediocre mobile shone","3","2","3","","3"
"mobile phone purchased met expectation performed well upon use seller wa prompt professional purchase give high recommendation delivery speed wa satisfactory yet lacking package arrived without proper protection causing minor cuff device nevertheless using hand ha relatively straightforward pleased outcome overall marketplace dependable secure dealing purchase","efficient mobile phone slightly unsatisfactory delivery","2","3","5","5","4"
"recently purchased mobile phone overall satisfied experience item may meet expectation doe function advertised get job done despite initial worry delivery time wa within stipulated range found fault packing seller professional quick respond queried concern aspect good purchase wa without flaw son include navigation complex interface initial set new phone doe longlasting battery selected online marketplace provided organized efficient purchase process availability desired specification different seller could improved","functional mobile shone recent delivery seller support","2","4","4","4","3"
"recently purchased new mobile phone say experience ha mix positive negative aspect phone sleek lightweight great carrying around seems bit itchy time phone camera take relatively decent picture wa disappointed lack storage capacity additionally found battery life last long wa anticipating positive side phone user interface quite intuition easy use experienced issue conductivity call quality overall experience phone ha okay definitely ideal","fixed experience new mobile shone","2","","","","3"
"recently purchased mobile phone mixed feeling experience satisfied item delivery process seller experience left much desired phone ha met expectation far pleased performance however delivery wa frustratingly slow seller provide satisfactory communication throughout process wa disappointing receive frequent updated whereabouts phone despite negative aspect happy marketplace service made purchasing process relatively hastefree summation phone decent delivery seller experience detracted overall experience","recent shone disappointing delivery seller experience","2","1","1","5","3"
